date,stock_id,type,value,origin_name,report,stock_name,industry
2021-09-30,6508,TotalConsolidatedProfitForThePeriod,22660000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2021-09-30,6508,Revenue,488788000.0,營業收入,IncomeStatement,惠光,農業科技業
2021-09-30,6508,CostOfGoodsSold,383685000.0,營業成本,IncomeStatement,惠光,農業科技業
2021-09-30,6508,OperatingExpenses,62503000.0,營業費用,IncomeStatement,惠光,農業科技業
2021-09-30,6508,OTHNOE,1186000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2021-09-30,6508,OperatingIncome,43786000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2021-09-30,6508,TotalNonoperatingIncomeAndExpense,-1578000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2021-09-30,6508,OtherComprehensiveIncome,-10629000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2021-09-30,6508,GrossProfit,105103000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2021-09-30,6508,EquityAttributableToOwnersOfParent,33289000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2021-09-30,6508,EPS,0.39,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,PreTaxIncome,46629000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,TAX,8343000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,IncomeFromContinuingOperations,38286000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,IncomeAfterTaxes,38286000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,TotalConsolidatedProfitForThePeriod,45036000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2021-12-31,6508,Revenue,511740000.0,營業收入,IncomeStatement,惠光,農業科技業
2021-12-31,6508,CostOfGoodsSold,422061000.0,營業成本,IncomeStatement,惠光,農業科技業
2021-12-31,6508,OperatingExpenses,46525000.0,營業費用,IncomeStatement,惠光,農業科技業
2021-12-31,6508,OTHNOE,1190000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2021-12-31,6508,OperatingIncome,44344000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,TotalNonoperatingIncomeAndExpense,2285000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2021-12-31,6508,OtherComprehensiveIncome,6750000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,GrossProfit,89679000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2021-12-31,6508,EquityAttributableToOwnersOfParent,38286000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2021-12-31,6508,EPS,0.45,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,PreTaxIncome,117403000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,TAX,26434000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,IncomeFromContinuingOperations,90969000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,IncomeAfterTaxes,90969000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,TotalConsolidatedProfitForThePeriod,116935000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2022-03-31,6508,EPS,1.06,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,Revenue,632748000.0,營業收入,IncomeStatement,惠光,農業科技業
2022-03-31,6508,CostOfGoodsSold,468933000.0,營業成本,IncomeStatement,惠光,農業科技業
2022-03-31,6508,OperatingExpenses,77534000.0,營業費用,IncomeStatement,惠光,農業科技業
2022-03-31,6508,OTHNOE,1185000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2022-03-31,6508,OperatingIncome,87466000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,TotalNonoperatingIncomeAndExpense,29937000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2022-03-31,6508,OtherComprehensiveIncome,25966000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2022-03-31,6508,EquityAttributableToOwnersOfParent,90969000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2022-03-31,6508,GrossProfit,163815000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,PreTaxIncome,139942000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,TAX,33044000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,IncomeFromContinuingOperations,106898000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,IncomeAfterTaxes,106898000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,TotalConsolidatedProfitForThePeriod,95541000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2022-06-30,6508,Revenue,793290000.0,營業收入,IncomeStatement,惠光,農業科技業
2022-06-30,6508,CostOfGoodsSold,593467000.0,營業成本,IncomeStatement,惠光,農業科技業
2022-06-30,6508,OperatingExpenses,89708000.0,營業費用,IncomeStatement,惠光,農業科技業
2022-06-30,6508,OTHNOE,1187000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2022-06-30,6508,OperatingIncome,111302000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,TotalNonoperatingIncomeAndExpense,28640000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2022-06-30,6508,OtherComprehensiveIncome,-11357000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,GrossProfit,199823000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2022-06-30,6508,EquityAttributableToOwnersOfParent,106898000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2022-06-30,6508,EPS,1.24,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,PreTaxIncome,150931000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,TAX,30070000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,IncomeFromContinuingOperations,120861000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,IncomeAfterTaxes,120861000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,TotalConsolidatedProfitForThePeriod,122942000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2022-09-30,6508,Revenue,798516000.0,營業收入,IncomeStatement,惠光,農業科技業
2022-09-30,6508,CostOfGoodsSold,620789000.0,營業成本,IncomeStatement,惠光,農業科技業
2022-09-30,6508,OperatingExpenses,98905000.0,營業費用,IncomeStatement,惠光,農業科技業
2022-09-30,6508,OTHNOE,1213000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2022-09-30,6508,OperatingIncome,80035000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,TotalNonoperatingIncomeAndExpense,70896000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2022-09-30,6508,OtherComprehensiveIncome,2081000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,GrossProfit,177727000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2022-09-30,6508,EquityAttributableToOwnersOfParent,120861000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2022-09-30,6508,EPS,1.41,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,PreTaxIncome,-11677000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,TAX,-7411000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,IncomeFromContinuingOperations,-4266000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,IncomeAfterTaxes,-4266000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,TotalConsolidatedProfitForThePeriod,-110000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2022-12-31,6508,Revenue,266664000.0,營業收入,IncomeStatement,惠光,農業科技業
2022-12-31,6508,CostOfGoodsSold,200206000.0,營業成本,IncomeStatement,惠光,農業科技業
2022-12-31,6508,OperatingExpenses,50239000.0,營業費用,IncomeStatement,惠光,農業科技業
2022-12-31,6508,OTHNOE,1221000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2022-12-31,6508,OperatingIncome,17440000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,TotalNonoperatingIncomeAndExpense,-29117000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2022-12-31,6508,OtherComprehensiveIncome,4156000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,EquityAttributableToOwnersOfParent,-4266000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2022-12-31,6508,GrossProfit,66458000.0,營業毛利（毛損）,IncomeStatement,惠光,農業科技業
2022-12-31,6508,EPS,-0.05,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2023-03-31,6508,PreTaxIncome,49437000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2023-03-31,6508,TAX,12782000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
